criterion_id	tag_id
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	3
40	3
41	3
42	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	3
51	3
52	3
53	3
54	3
55	3
56	3
57	3
58	3
59	3
60	3
61	3
62	3
63	3
64	3
65	4
66	4
67	4
68	4
69	4
70	4
71	4
72	4
73	4
74	4
75	4
76	4
77	5
78	5
79	5
80	5
81	2
82	2
83	2
84	2
85	2
86	2
87	3
88	3
89	3
90	3
91	3
92	3
93	3
94	3
95	4
96	4
97	4
98	4
99	5
100	2
101	2
102	2
103	2
104	3
105	3
106	3
107	3
108	3
109	3
110	3
111	4
112	4
113	4
114	4
115	4
116	5
117	3
118	3
119	3
120	3
121	3
122	3
123	3
124	3
125	3
126	3
127	3
128	3
129	3
130	3
131	3
132	3
133	3
134	3
135	3
136	3
137	3
138	3
139	3
140	3
141	3
142	4
143	4
144	4
145	4
146	4
147	4
148	2
149	4
150	5
